"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"WIPRO","Wipro Limited","EQ","Interim Dividend - Rs 6 Per Share","2","27-Jan-2026","27-Jan-2026","-","-"
"KSOLVES","Ksolves India Limited","EQ","Interim Dividend - Rs 5 Per Share","5","27-Jan-2026","27-Jan-2026","-","-"
"PERSISTENT","Persistent Systems Limited","EQ","Interim Dividend - Rs 22 Per Share","5","27-Jan-2026","27-Jan-2026","-","-"
"SRF","SRF Limited","EQ","Interim Dividend - Rs 5 Per Share","10","27-Jan-2026","27-Jan-2026","-","-"
"UNITDSPR","United Spirits Limited","EQ","Interim Dividend - Rs 6 Per Share","2","27-Jan-2026","27-Jan-2026","-","-"
"KEI","KEI Industries Limited","EQ","Interim Dividend - Rs 4.50 Per Share","2","28-Jan-2026","28-Jan-2026","-","-"
"KPEL","K.P. Energy Limited","EQ","Interim Dividend - Re 0.20 Per Share","5","28-Jan-2026","28-Jan-2026","-","-"
"KPIGREEN","KPI Green Energy Limited","EQ","Interim Dividend - Re 0.20 Per Share","5","28-Jan-2026","28-Jan-2026","-","-"
"WENDT","Wendt (India) Limited","EQ","Interim Dividend - Rs 20 Per Share","10","28-Jan-2026","28-Jan-2026","-","-"
"JSL","Jindal Stainless Limited","EQ","Interim Dividend - Re 1 Per Share","2","29-Jan-2026","29-Jan-2026","-","-"
"ZENSARTECH","Zensar Technologies Limited","EQ","Interim Dividend - Rs 2.40 Per Share","2","29-Jan-2026","29-Jan-2026","-","-"
"IIFL","IIFL Finance Limited","EQ","Interim Dividend - Rs 4 Per Share","2","29-Jan-2026","29-Jan-2026","-","-"
"ORIENTELEC","Orient Electric Limited","EQ","Interim Dividend - Re 0.75 Per Share","1","29-Jan-2026","29-Jan-2026","-","-"
"SHANTIGEAR","Shanthi Gears Limited","EQ","Interim Dividend - Rs 3 Per Share","1","29-Jan-2026","29-Jan-2026","-","-"
"IMPAL","India Motor Parts and Accessories Limited","EQ","Interim Dividend - Rs 10 Per Share","10","29-Jan-2026","29-Jan-2026","-","-"
"KIRLPNU","Kirloskar Pneumatic Company Limited","EQ","Interim Dividend - Rs 3.50 Per Share","2","30-Jan-2026","30-Jan-2026","-","-"
"ENRIN","Siemens Energy India Limited","EQ","Dividend - Rs 4 Per Share","2","30-Jan-2026","30-Jan-2026","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","Interim Dividend - Rs 5 Per Share","1","30-Jan-2026","30-Jan-2026","-","-"
"INNOVACAP","Innova Captab Limited","EQ","Interim Dividend - Rs 2 Per Share","10","30-Jan-2026","30-Jan-2026","-","-"
"GANDHAR","Gandhar Oil Refinery (India) Limited","EQ","Interim Dividend - Re 0.75 Per Share","2","30-Jan-2026","30-Jan-2026","-","-"
"ADVANIHOTR","Advani Hotels & Resorts (India) Limited","EQ","Interim Dividend - Re 1 Per Share","2","30-Jan-2026","30-Jan-2026","-","-"
"SONACOMS","Sona BLW Precision Forgings Limited","EQ","Interim Dividend - Rs 1.60 Per Share","10","30-Jan-2026","30-Jan-2026","-","-"
"MASTEK","Mastek Limited","EQ","Interim Dividend - Rs 8 Per Share","5","30-Jan-2026","30-Jan-2026","-","-"
"MATRIMONY","Matrimony.Com Limited","EQ","Buy Back","5","30-Jan-2026","30-Jan-2026","-","-"
"CAMS","Computer Age Management Services Limited","EQ","Interim Dividend - Rs 3.50 Per Share","2","30-Jan-2026","30-Jan-2026","-","-"
"COFORGE","Coforge Limited","EQ","Interim Dividend - Rs 4 Per Share","2","30-Jan-2026","31-Jan-2026","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Interim Dividend - Rs 10 Per Share","10","02-Feb-2026","02-Feb-2026","-","-"
"GENUSPOWER","Genus Power Infrastructures Limited","EQ","Demerger","1","06-Feb-2026","06-Feb-2026","-","-"
